year;Commodity;Type_urbs;Type_evrys;price;max;maxperhour;annual;losses
2020;Waste;Stock;SUP-Stock;0;inf;inf;inf;0
2020;WindOff;SupIm;SUP-Intermittent;0;inf;inf;1;0
2020;WindOn;SupIm;SUP-Intermittent;0;inf;inf;1;0
2020;Bioenergy;Stock;SUP-Stock;23;inf;inf;inf;0
2020;Hydro;SupIm;SUP-Intermittent;0;inf;inf;;0
2050;Biogas;Stock;SUP-Stock;23;inf;inf;inf;0
2050;Biomass;Stock;SUP-Stock;23;inf;inf;inf;0
2050;CO2;Env;ENV;12;inf;inf;inf;0
2050;Coal;Stock;SUP-Stock;10,5365161;inf;inf;inf;0
2050;Elec;Demand;DEM;;;;;0
2050;Gas;Stock;SUP-Stock;24,80815129;inf;inf;inf;0
2050;Geothermal;Stock;SUP-Stock;0;inf;inf;inf;0
2050;Hydro_Large;SupIm;SUP-Intermittent;0;inf;inf;;0
2050;Hydro_Small;SupIm;SUP-Intermittent;0;inf;inf;;0
2050;Lignite;Stock;SUP-Stock;7;inf;inf;inf;0
2050;Liquid biofuels;Stock;SUP-Stock;23;inf;inf;inf;0
2050;Oil;Stock;SUP-Stock;40,25785851;inf;inf;inf;0
2050;Slack;Stock;SUP-Stock;999;inf;inf;inf;0
2050;Solar;SupIm;SUP-Intermittent;0;inf;inf;1;0
2050;Tidal;Stock;SUP-Stock;0;inf;inf;inf;0
2050;Uranium;Stock;SUP-Stock;2,33;inf;inf;inf;0
2050;Waste;Stock;SUP-Stock;0;inf;inf;inf;0
2050;WindOff;SupIm;SUP-Intermittent;0;inf;inf;1;0
2050;WindOn;SupIm;SUP-Intermittent;0;inf;inf;1;0
2050;Bioenergy;Stock;SUP-Stock;23;inf;inf;inf;0
2050;Hydro;SupIm;SUP-Intermittent;0;inf;inf;;0
2030;Biogas;Stock;SUP-Stock;23;inf;inf;inf;0
2030;Biomass;Stock;SUP-Stock;23;inf;inf;inf;0
2030;CO2;Env;ENV;12;inf;inf;inf;0
2030;Coal;Stock;SUP-Stock;10,5365161;inf;inf;inf;0
2030;Elec;Demand;DEM;;;;;0
2030;Gas;Stock;SUP-Stock;24,80815129;inf;inf;inf;0
2030;Geothermal;Stock;SUP-Stock;0;inf;inf;inf;0
2030;Hydro_Large;SupIm;SUP-Intermittent;0;inf;inf;;0
2030;Hydro_Small;SupIm;SUP-Intermittent;0;inf;inf;;0
2030;Lignite;Stock;SUP-Stock;7;inf;inf;inf;0
2030;Liquid biofuels;Stock;SUP-Stock;23;inf;inf;inf;0
2030;Oil;Stock;SUP-Stock;40,25785851;inf;inf;inf;0
2030;Slack;Stock;SUP-Stock;999;inf;inf;inf;0
2030;Solar;SupIm;SUP-Intermittent;0;inf;inf;1;0
2030;Tidal;Stock;SUP-Stock;0;inf;inf;inf;0
2030;Uranium;Stock;SUP-Stock;2,33;inf;inf;inf;0
2030;Waste;Stock;SUP-Stock;0;inf;inf;inf;0
2030;WindOff;SupIm;SUP-Intermittent;0;inf;inf;1;0
2030;WindOn;SupIm;SUP-Intermittent;0;inf;inf;1;0
2030;Bioenergy;Stock;SUP-Stock;23;inf;inf;inf;0
2030;Hydro;SupIm;SUP-Intermittent;0;inf;inf;;0
2040;Biogas;Stock;SUP-Stock;23;inf;inf;inf;0
2040;Biomass;Stock;SUP-Stock;23;inf;inf;inf;0
2040;CO2;Env;ENV;12;inf;inf;inf;0
2040;Coal;Stock;SUP-Stock;10,5365161;inf;inf;inf;0
2040;Elec;Demand;DEM;;;;;0
2040;Gas;Stock;SUP-Stock;24,80815129;inf;inf;inf;0
2040;Geothermal;Stock;SUP-Stock;0;inf;inf;inf;0
2040;Hydro_Large;SupIm;SUP-Intermittent;0;inf;inf;;0
2040;Hydro_Small;SupIm;SUP-Intermittent;0;inf;inf;;0
2040;Lignite;Stock;SUP-Stock;7;inf;inf;inf;0
2040;Liquid biofuels;Stock;SUP-Stock;23;inf;inf;inf;0
2040;Oil;Stock;SUP-Stock;40,25785851;inf;inf;inf;0
2040;Slack;Stock;SUP-Stock;999;inf;inf;inf;0
2040;Solar;SupIm;SUP-Intermittent;0;inf;inf;1;0
2040;Tidal;Stock;SUP-Stock;0;inf;inf;inf;0
2040;Uranium;Stock;SUP-Stock;2,33;inf;inf;inf;0
