EUROSTAT;Model_sectors
Distribution Losses;
Energy Available for Final Consumption;
Final Energy Consumption;
Final Energy Consumption - Industry;IND
Iron and Steel;
Non-Ferrous Metals;
Chemical and Petrochemical;
Non-Metallic Minerals;
Mining and Quarrying;
Food and Tobacco;
Textile and Leather;
Paper, Pulp and Print;
Transport Equipment;
Machinery;
Wood and Wood Products;
Construction;
Non-specified (Industry);
Final Energy Consumption - Transport;
Rail;
Road;
Consumption in Pipeline transport;
Non-specified (Transport);
Final Energy Consumption - Other Sectors;
Residential;RES
Fishing;
Agriculture/Forestry;AGR
Services;COM
Non-specified (Other);COM
Statistical Difference;
